temperature_over_omega,N13,valid_N13,N25,valid_N25,N31,valid_N31
0.29,0.0811746431897,1,0.134231502224,1,0.153218511605,1
0.274444444444,0.0853517975825,1,0.137606330166,1,0.156449765815,1
0.258888888889,0.0895659347303,1,0.141058187509,1,0.159760982497,1
0.243333333333,0.0938073760636,1,0.144594002177,1,0.163158356717,1
0.227777777778,0.098081295852,1,0.148223494409,1,0.166651943033,1
0.212222222222,0.102415996007,1,0.151958906958,1,0.170254596673,1
0.196666666667,0.10683954763,1,0.155812256518,1,0.173979393384,1
0.181111111111,0.111354200037,1,0.159795602799,1,0.177838071038,1
0.165555555556,0.115935348417,1,0.163919772239,1,0.181834029786,1
0.15,0.120553538744,1,0.168184335204,1,0.18593291728,1
0.142631578947,0.122745373644,1,0.17024227599,1,0.187880119763,1
0.135263157895,0.124935669266,1,0.172306794104,1,0.189803844229,1
0.127894736842,0.127118484862,1,0.17435357515,1,0.191678470401,1
0.120526315789,0.129279003336,1,0.176350019582,1,0.193474758515,1
0.113157894737,0.13138570845,1,0.178258849704,1,0.195158328435,1
0.105789473684,0.133385695028,1,0.180040016145,1,0.19668861706,1
0.0984210526316,0.135211849768,1,0.181648911877,1,0.198022895085,1
0.0910526315789,0.136803621794,1,0.183037123727,1,0.199127281787,1
0.0836842105263,0.138120411651,1,0.184164796981,1,0.1999848178,1
0.0763157894737,0.139135437215,1,0.185016802744,1,0.200599111389,1
0.0689473684211,0.139845227093,1,0.18560428738,1,0.20099870716,1
0.0615789473684,0.140285684936,1,0.185966220659,1,0.201229649259,1
0.0542105263158,0.140519240073,1,0.186159723411,1,0.201344166379,1
0.0468421052632,0.140619311988,1,0.18624527452,1,0.201389850392,1
0.0394736842105,0.140650576362,1,0.186273611568,1,0.2014031862,1
0.0321052631579,0.140655792191,1,0.186279569923,1,0.201406336485,1
0.0247368421053,0.140656427829,1,0.186280022438,1,0.201406700462,1
0.0173684210526,0.140656485049,1,0.186280354024,1,0.201406738397,1
0.01,0.140656485011,1,0.186280355582,1,0.201406734399,1
