temperature_over_omega,N13,valid_N13,N25,valid_N25,N31,valid_N31
0.375,0.0796355577429,1,0.158426941893,1,0.196003478502,1
0.355555555556,0.0852344190064,1,0.164709506575,1,0.202800678511,1
0.336111111111,0.0912842955176,1,0.171664374072,1,0.210048567331,1
0.316666666667,0.0977490931868,1,0.179220798382,1,0.217539368646,1
0.297222222222,0.104602355421,1,0.187263415568,1,0.225228606552,1
0.277777777778,0.111833267778,1,0.195644149625,1,0.233008489227,1
0.258333333333,0.119453563475,1,0.204198603183,1,0.240781272204,1
0.238888888889,0.127496508314,1,0.212764944831,1,0.248470581884,1
0.219444444444,0.135977905579,1,0.221198499064,1,0.256029867915,1
0.2,0.144781156189,1,0.229397411708,1,0.263433583757,1
0.190789473684,0.148968837883,1,0.233176655568,1,0.266883862721,1
0.181578947368,0.153098767996,1,0.23687984234,1,0.270293336585,1
0.172368421053,0.157121729472,1,0.240501062306,1,0.273654520298,1
0.163157894737,0.160998726978,1,0.244032764014,1,0.276953522163,1
0.153947368421,0.164698581363,1,0.247462348556,1,0.280164614859,1
0.144736842105,0.168199969477,1,0.250767391427,1,0.283246757323,1
0.135526315789,0.171486717915,1,0.253908622113,1,0.286140775162,1
0.126315789474,0.174521955792,1,0.256826609262,1,0.288775750531,1
0.117105263158,0.177211182378,1,0.259448702378,1,0.291079749855,1
0.107894736842,0.179450894495,1,0.261699974941,1,0.292987068029,1
0.0986842105263,0.181195013165,1,0.263519202227,1,0.294448844405,1
0.0894736842105,0.182453328468,1,0.264868225361,1,0.295463844862,1
0.0802631578947,0.183277937756,1,0.265757186997,1,0.296095073377,1
0.0710526315789,0.183753420713,1,0.266269525665,1,0.296445210867,1
0.0618421052632,0.183980345368,1,0.266521563215,1,0.296615749323,1
0.0526315789474,0.184062785269,1,0.266622872327,1,0.296686715661,1
0.0434210526316,0.184082585207,1,0.266656600114,1,0.296703832372,1
0.0342105263158,0.184085155033,1,0.266662055818,1,0.296707405443,1
0.025,0.184084726452,1,0.266662680267,1,0.296708346475,1
