temperature_over_omega,N13,valid_N13,N25,valid_N25,N31,valid_N31
0.375,1,0,0.295533133128,1,0.31490352027,1
0.355555555556,1,0,0.287239222906,1,0.307202502753,1
0.336111111111,1,0,0.281779285705,1,0.306346407745,1
0.316666666667,1,0,0.270407639208,1,0.292338180966,1
0.297222222222,1,0,0.263939786273,1,0.288568202217,1
0.277777777778,1,0,0.260234584856,1,0.28366346088,1
0.258333333333,1,0,0.252730815906,1,0.281108075804,1
0.238888888889,1,0,0.249229561059,1,0.283314642115,1
0.219444444444,1,0,0.248586383642,1,0.280002534905,1
0.2,0.155004286029,1,0.24899563404,1,0.280188075551,1
0.190789473684,0.155367266525,1,0.249118506342,1,0.281230368937,1
0.181578947368,0.156586588296,1,0.249722823822,1,0.281970194046,1
0.172368421053,0.157719442339,1,0.250567615047,1,0.284420632069,1
0.163157894737,0.15976122669,1,0.25168648337,1,0.285353185114,1
0.153947368421,0.160652804702,1,0.252576142127,1,0.286618248456,1
0.144736842105,0.162096691575,1,0.25319606477,1,0.286294343742,1
0.135526315789,0.16366596593,1,0.254997753117,1,0.288648624893,1
0.126315789474,0.165185406566,1,0.256320756711,1,0.288564190736,1
0.117105263158,0.165213602531,1,0.256471749237,1,0.288832566334,1
0.107894736842,0.166026128537,1,0.256885064769,1,0.289133636498,1
0.0986842105263,0.166802054693,1,0.257329366752,1,0.289661748294,1
0.0894736842105,0.16714526273,1,0.25789734935,1,0.289653541061,1
0.0802631578947,0.167382464679,1,0.257891015087,1,0.28964693196,1
0.0710526315789,0.167526139935,1,0.257885604652,1,0.289642435333,1
0.0618421052632,0.167599621854,1,0.257881432602,1,0.289640091978,1
0.0526315789474,0.167625725013,1,0.257878671861,1,0.289639716383,1
0.0434210526316,0.167632216118,1,0.257877281223,1,0.289640317991,1
0.0342105263158,0.167633062509,1,0.257876822413,1,0.289640892788,1
0.025,0.167632621744,1,0.257876743821,1,0.28964109104,1
